Step,AgentID,first_odor_concentration,olfactory_activation,first_odor_concentration_change,turner_activation,turner_activity,torque,orientation_to_center,centroid_x,centroid_y,bend,front_orientation,rear_orientation,dst_to_center,scaled_dst_to_center
71,Larva_0,1.64283455665123,-0.05363034800761237,0.0018381401465111594,-0.3556292503221279,-0.46497269151372067,-0.19063880352062545,127.24575507324985,7.562350451648969,1.7503741177497436,-32.95883141707852,320.27788913008743,353.23672054716593,7.762277623587265,2.2325487614108783
72,Larva_0,1.639061100424669,-0.05239058366852856,-0.0022969179770925023,12.369311450385402,4.479935194903336,1.8367734299103677,127.7534445098839,7.650285703799318,1.676892574944227,-29.95025258110417,320.11677748820654,350.0670300693107,7.831911647717899,2.2525765627681116
73,Larva_0,1.6332370549417394,-0.053466347764949795,-0.0035532814984264504,22.77978651973552,0.3178468422193562,0.13031720530993604,128.18599479281198,7.713405972131012,1.6240709873692822,-27.22698210419241,320.07604726579416,347.3030293699866,7.882527403245802,2.2671344216584344
74,Larva_0,1.6288892293959334,-0.0528034188185173,-0.002662090927125783,27.436577742996704,0.3359653778751256,0.13774580492880148,128.76836483231844,7.7850328971742195,1.564244230229784,-25.368838814450626,320.1295065912934,345.49834540574403,7.9406295230222135,2.283845472439201
75,Larva_0,1.6237503415766155,-0.05301822634991871,-0.003154841794382582,23.888844425123175,3.0897753729835844,1.2668079029232695,129.87363374441932,7.831931409878036,1.5261310072474918,-22.691574609057728,320.90012098613187,343.59169559518955,7.9792371477677255,2.294949610810224
76,Larva_0,1.6192397905030378,-0.05250653552124367,-0.002777859969038132,23.750821203005444,9.206939304718693,3.774845114934664,133.55302477629343,7.976511980808972,1.4197130717665258,-18.842123646338855,323.64522616203845,342.4873498083773,8.101871918645333,2.330221230701369
77,Larva_0,1.6047497588432293,-0.06253261453419721,-0.008948663283099614,16.269002183002385,2.5853032382402796,1.0599743276785145,137.44641090340946,8.189454656286832,1.2777763394217183,-13.448679205686778,326.3145992081007,339.7632784137875,8.288539071571302,2.3839095347365924
78,Larva_0,1.5852945247923038,-0.07676910236503345,-0.012123531375352674,15.679418751061865,5.520630657523176,2.263458569584502,141.94202976361296,8.431264236520644,1.1359961609519207,-7.375993905996514,329.61563062911193,336.99162453510843,8.507449906037033,2.4468716105660873
79,Larva_0,1.5627141536534659,-0.0929243745436622,-0.014243644184538062,25.188038940420455,1.2457759357803415,0.51076813366994,145.58426429577204,8.634400614816872,1.0297321841869191,-2.941375311879701,332.3851949664908,335.32657027837047,8.695586371734821,2.500982511236979
80,Larva_0,1.5437360603267165,-0.10374836777629307,-0.012144315249452715,25.43086555773988,1.4586691797649511,0.59805436370363,148.23818354805113,8.695345602759584,1.001060805281956,0.02197917602530048,334.80550779585155,334.7835286198263,8.75278000907724,2.517432268692368
81,Larva_0,1.5362998146259703,-0.10127292487939399,-0.00481704476034095,9.99847944480734,5.426467443252311,2.2248516517334473,151.42974244243783,8.72540941065599,0.9888503986304682,3.1107635790223402,337.89548435733906,334.78472077831674,8.781263832412494,2.5256246482478386
82,Larva_0,1.5307861976417856,-0.09697214777455314,-0.0035888938680416916,18.05146796607449,32.64509438993696,13.384488699874153,161.583123878605,8.804977600296413,0.9717650132846131,13.01509747590054,347.8811080181249,334.8660105422244,8.85843991811005,2.547821660888955
83,Larva_0,1.5164263734128274,-0.10235204158851388,-0.00938068572285266,14.41232449889418,4.678867630091049,1.91833572833733,170.36345271197757,8.984201097738387,0.960699678330683,20.748016418928596,356.46701875180617,335.71900233287755,9.035419925855594,2.5987237950623268
84,Larva_0,1.497902148393787,-0.11155420242993505,-0.012215710135237338,35.4670444710879,0.46194249895506834,0.18939642457157801,176.96442469399233,9.152435284462872,0.9695500781215004,24.292096552892446,3.011418420518411,338.7193218676259,9.203645961805918,2.647108154191238
85,Larva_0,1.4828066013622005,-0.11627398483117614,-0.01007779249650829,6.444512675024212,1.6747400143245084,0.6866434058730484,-177.75467320784446,9.219847251897486,0.9793951590726842,26.293903102044627,8.3089365869356,342.015033484891,9.271720348777599,2.6666873802492717
